0,0,0
0,0,0
0,0,207
0,0,284
207,1,284
284,2,0
284,2,369
369,3,450
459,7,521
521,8,0
521,8,0
650,10,711
662,9,738
738,16,814
814,15,915
922,14,621
922,14,1017
1017,19,1074
1183,31,0
1183,31,1261
1261,25,1286
1402,26,1496
1520,33,1529
1529,30,1654
1654,28,1841
1868,38,1932
1932,37,0
0,0,1654
0,0,2139
2139,44,2260
2260,42,2371
2377,41,3356
2423,43,3356
3492,56,3534
3594,55,3757
3805,57,0
4882,72,3492
4882,72,3594
0,0,3757
5601,71,4499
5601,71,4499
5601,71,0
0,0,5601
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
